Epoch id,Train Loss,Train ROC_AUC,Train PR_AUC,Train_Precision,Train_Recall,Validation Loss,Validation ROC_AUC,Validation PR_AUC,Validation_Precision,Validation_Recall
0,24.74427604675293,0.4847505346145003,0.26761058329239945,0.019767806714778787,0.5060240963855421,7.366459369659424,0.5562877508697573,0.07934601467166771,0.06605351170568562,1.0
5,0.11970295757055283,0.3403080747924124,0.013940430941108153,0.0,0.0,0.43985456228256226,0.41085411874029665,0.10080128962622202,1.0,0.0
10,0.20452919602394104,0.3861158451481411,0.014587323510915878,1.0,0.0,0.6708763837814331,0.4619289915347394,0.06132657407988652,1.0,0.0
15,0.16911572217941284,0.5363016485632924,0.02801609732169121,1.0,0.004016064257028112,0.5021172165870667,0.5885905964212459,0.11974233142684193,1.0,0.0
20,0.1088319644331932,0.6916636979567051,0.044628852615882224,0.09090909090909091,0.020080321285140562,0.2816542685031891,0.6565959906168195,0.11296614804672672,0.2,0.02531645569620253
25,0.10572488605976105,0.6700317528612278,0.03328742758260323,0.0,0.0,0.3252830505371094,0.5941434448058203,0.0984369665291728,0.0,0.0
30,0.1023033857345581,0.678277694281097,0.03429044784148777,1.0,0.0,0.3037484586238861,0.6041499042416963,0.09243568601455224,1.0,0.0
35,0.09581167995929718,0.7015165255994903,0.04535833880629422,0.0,0.0,0.29786616563796997,0.6204798114298018,0.09274009137071036,0.0,0.0
40,0.09317836165428162,0.7128959773897786,0.04852405286171333,0.0,0.0,0.26516422629356384,0.6463742166517458,0.09534501694324052,0.0,0.0
45,0.09232398867607117,0.7142245778922062,0.054169112856720186,1.0,0.0,0.28223589062690735,0.64816472694718,0.0971330760668513,1.0,0.0
49,0.09158820658922195,0.7258078098288806,0.054322872863930866,0.0,0.0,0.261827677488327,0.6587151388778714,0.10045740086677339,1.0,0.0
